hour,Averagewaterconsumption
0:00 - 1:00,272.956673026048
1:00 - 2:00,219.2631861348528
2:00 - 3:00,202.02785853092954
3:00 - 4:00,192.10317995370372
4:00 - 5:00,626.8435236380952
5:00 - 6:00,611.3619556182638
6:00 - 7:00,701.9364026455027
7:00 - 8:00,885.6049472663138
8:00 - 9:00,1317.1022637259414
9:00 - 10:00,1306.7016337081131
10:00 - 11:00,1153.1731488610415
11:00 - 12:00,1062.7385639329807
12:00 - 13:00,1076.1932472966882
13:00 - 14:00,990.6108220654517
14:00 - 15:00,1061.4058945430024
15:00 - 16:00,554.1705965349101
16:00 - 17:00,723.0505687830688
17:00 - 18:00,855.6634275236494
18:00 - 19:00,820.3489753764753
19:00 - 20:00,799.8223875661375
20:00 - 21:00,856.8639626945786
21:00 - 22:00,783.1381129666373
22:00 - 23:00,825.4558271394978
23:00 - 24:00,738.4690155836139
