v,Waterconsumption,Day,Date
0,2476.220433,213,01-Aug
1,2640.419232,214,02-Aug
2,2629.842865,215,03-Aug
3,3303.959218,216,04-Aug
4,2790.731825,217,05-Aug
5,2344.618797,218,06-Aug
6,2764.662881,219,07-Aug
7,2130.068821,220,08-Aug
8,2420.316725,221,09-Aug
9,2417.437424,222,10-Aug
10,2572.69125,223,11-Aug
11,1919.67925,224,12-Aug
12,2174.161323,225,13-Aug
13,2384.065311,226,14-Aug
14,2342.21003,227,15-Aug
15,2288.400704,228,16-Aug
16,2040.629072,229,17-Aug
17,2012.112113,230,18-Aug
18,1326.227932,231,19-Aug
19,1500.0157,232,20-Aug
20,1926.543588,233,21-Aug
21,1786.038543,234,22-Aug
22,2199.894384,235,23-Aug
23,2259.181948,236,24-Aug
24,2390.558862,237,25-Aug
25,2460.087261,238,26-Aug
26,2245.347305,239,27-Aug
27,2260.089111,240,28-Aug
28,2219.619777,241,29-Aug
29,2159.380207,242,30-Aug
30,2202.541996,243,31-Aug
31,2322.962891,244,01-Sep
32,1998.282475,245,02-Sep
33,2388.401697,246,03-Sep
34,2457.504655,247,04-Sep
35,1853.951605,248,05-Sep
36,1879.413416,249,06-Sep
37,2154.836325,250,07-Sep
38,2175.643145,251,08-Sep
39,2240.550828,252,09-Sep
40,2021.188283,253,10-Sep
41,2142.830185,254,11-Sep
42,1916.757373,255,12-Sep
43,2054.445309,256,13-Sep
44,1953.112752,257,14-Sep
45,1913.907538,258,15-Sep
46,1830.570954,259,16-Sep
47,2217.093009,260,17-Sep
48,2048.147028,261,18-Sep
49,1829.277165,262,19-Sep
50,1527.029661,263,20-Sep
51,2111.074924,264,21-Sep
52,1938.009117,265,22-Sep
53,1437.220058,266,23-Sep
54,2503.581189,267,24-Sep
55,1588.860772,268,25-Sep
56,1222.474396,269,26-Sep
57,1173.22134,270,27-Sep
58,1299.025787,271,28-Sep
59,1126.083342,272,29-Sep
60,997.3867406,273,30-Sep

