Date,Day,Waterconsumption
2022-08-01,213,48478.09053571429
2022-08-02,214,50827.855341798946
2022-08-03,215,59991.08063897707
2022-08-04,216,65789.83227292768
2022-08-05,217,45803.878687830686
2022-08-06,218,41411.32904541446
2022-08-07,219,56093.84955026455
2022-08-08,220,53250.88677719577
2022-08-09,221,50466.436123897714
2022-08-10,222,50969.21440952381
2022-08-11,223,54606.45287654321
2022-08-12,224,41254.17559523809
2022-08-13,225,44520.06598765432
2022-08-14,226,59596.555919135804
2022-08-15,227,59183.040564814815
2022-08-16,228,63428.898770194006
2022-08-17,229,56359.070079365076
2022-08-18,230,60567.34151895944
2022-08-19,231,44932.89098104056
2022-08-20,232,47769.97622335097
2022-08-21,233,50917.63640844797
2022-08-22,234,53883.43118606701
2022-08-23,235,52391.36309811288
2022-08-24,236,43803.8863064903
2022-08-25,237,48541.92860758377
2022-08-26,238,56710.115715784836
2022-08-27,239,49290.73729654321
2022-08-28,240,48944.18029121694
2022-08-29,241,50678.703710317466
2022-08-30,242,53797.12830335097
2022-08-31,243,54947.8895215873
2022-09-01,244,62135.97427248677
2022-09-02,245,60197.840910846564
2022-09-03,246,62530.822310987656
2022-09-04,247,58657.21110670194
2022-09-05,248,55921.24628747795
2022-09-06,249,30954.81199514991
2022-09-07,250,19247.58240079365
2022-09-08,251,55319.79519179894
2022-09-09,252,60014.39907710758
2022-09-10,253,59654.61747574956
2022-09-11,254,60273.20761463844
2022-09-12,255,57692.52453587302
2022-09-13,256,57272.87581569665
2022-09-14,257,59352.39822310406
2022-09-15,258,54887.130514285716
2022-09-16,259,63433.70158636684
2022-09-17,260,59979.231926807755
2022-09-18,261,62336.06851410935
2022-09-19,262,61572.68971340389
2022-09-20,263,63609.45439968253
2022-09-21,264,60041.26033730158
2022-09-22,265,69358.16764329806
2022-09-23,266,72327.30111970018
2022-09-24,267,69631.09008377425
2022-09-25,268,64068.74067460316
2022-09-26,269,70563.87882936507
2022-09-27,270,64553.18023589066
2022-09-28,271,73109.73667989418
2022-09-29,272,62624.29656525573
2022-09-30,273,62493.32384700177
2022-10-01,274,66528.45769382716
2022-10-02,275,61130.88433442681
2022-10-03,276,57140.52328042329
2022-10-04,277,62013.66912918871
2022-10-05,278,67939.29168091711
2022-10-06,279,67602.56565035274
2022-10-07,280,65695.27266093474
2022-10-08,281,67890.15648809524
2022-10-09,282,62041.69144179895
2022-10-10,283,66182.77335811287
2022-10-11,284,67847.43671075837
2022-10-12,285,56441.035046384466
2022-10-13,286,68132.85162257495
2022-10-14,287,61394.69837539683
2022-10-15,288,53820.51086410935
2022-10-16,289,75796.81138007055
